ROLE,BOARD,CYCLE,PROFILE,PROFILE_ATTEMPTS,PROFILE_START_MS,PROFILE_END_MS,PROFILE_DURATION_MS,ELAPSED_MS,ACCEPTED,FRESH,STALE,AMBIGUOUS,PRODUCER_STATUS,UPDATE_COUNT,EPOCH_BEFORE,EPOCH_AFTER,TRANSPORT_ERROR,PARSE_ERROR,ODD_OR_SENTINEL,EPOCH_CHANGED,ARITHMETIC_MISMATCH,RANGE_MISMATCH,REASON,STOP_REASON
SLAVE,DE5 [1-11.2],86,CORE,1,1789464265353,1789464265540,187,100049,1,1,0,0,FRESH,490374,980748,980748,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],87,FULL,8,1789464266042,1789464267175,1133,101684,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,496474,992176,992948,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],88,CORE,1,1789464267676,1789464267862,186,102371,1,1,0,0,FRESH,499140,998280,998280,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],89,FULL,8,1789464268362,1789464269472,1110,103981,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,505243,1009736,1010486,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],90,CORE,1,1789464269972,1789464270158,186,104667,1,1,0,0,FRESH,507918,1015836,1015836,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],91,FULL,8,1789464270658,1789464271770,1112,106279,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,514024,1027280,1028048,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],92,CORE,1,1789464272270,1789464272470,200,106979,1,1,0,0,FRESH,516687,1033374,1033374,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],93,FULL,8,1789464273184,1789464274299,1115,108808,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,523551,1047102,1047870,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],94,CORE,2,1789464274799,1789464275044,245,109553,1,1,0,0,FRESH,526612,1053224,1053224,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],95,FULL,8,1789464275544,1789464276661,1117,111170,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,532712,1064654,1065424,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],96,CORE,1,1789464277161,1789464277349,188,111858,1,1,0,0,FRESH,535378,1070756,1070756,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],97,FULL,8,1789464277849,1789464278959,1110,113468,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,541486,1082202,1082972,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],98,CORE,1,1789464279460,1789464279646,186,114155,1,1,0,0,FRESH,544150,1088300,1088300,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],99,FULL,8,1789464280146,1789464281246,1100,115755,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,550258,1099748,1100516,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],100,CORE,1,1789464281747,1789464281935,188,116444,1,1,0,0,FRESH,552923,1105846,1105846,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],101,FULL,8,1789464282435,1789464283543,1108,118052,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,559032,1117296,1118064,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],102,CORE,1,1789464284064,1789464284250,186,118759,1,1,0,0,FRESH,561703,1123406,1123406,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],103,FULL,8,1789464284750,1789464285871,1121,120380,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,567801,1134844,1135602,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
